Respondent,Age,Gender,COVID-19 Jab?,Race,Any reason for Hesitation,Reasons for Hesitation,Hesistation Status,Trust Level,Safety Level,Confidence Level,Accessibility ,Obstacles
Staff,20,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,For it to be provided within an hour's drive.,If I have to travel far and/or skip work or class.
Student,20,2,0,White,,,3,,,,,
Student,19,3,1,White,2,,0,Completely trust,Very safe,Very confident,,
Student,21,2,0,White,2,,3,Mostly trust,Very safe,Very confident,If App State were to allow me to drive up and receive it. ,
Student,54,2,0,White,,,3,,,,,
Staff,19,1,1,White,1,Bad side effects ,,Do not trust at all,Not safe at all,Somewhat confident,I prefer not to get the vaccine,I prefer not to get the vaccine
Student,19,1,0,White,2,,3,Somewhat trust,Mostly safe,Very confident,Nothing Iâ€™d be fine with driving a little distance in order to get it.,The vaccine being in another state.
Student,21,2,0,White,1,not enough testing on effects,,Do not trust at all,Not sure,Only slightly confident,"if i could live life normally again after getting the vaccine i would get it - ie no masks, traveling, anything thatâ€™s been cancelled by covid ",not enough testing 
Student,21,2,0,White,,,3,,,,,
Student,24,1,1,White,2,,0,Completely trust,Very safe,Very confident,Im getting it tomorrow.,Nothing.
Student,19,2,0,White,2,,3,Completely trust,Mostly safe,Very confident,,
Student,20,2,0,White,2,,3,Mostly trust,Very safe,Very confident,lots of available times to receive the vaccine,lack of options to get it (not enough times available for me to get it because I work and have classes)
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,,
Student,18,2,0,White,1,Religious friends who tell me that getting the vaccine will send me to hell (itâ€™s upsetting to hear but it really depends on beliefs),,Completely trust,Very safe,Somewhat confident,Just knowing that Iâ€™m able to be safe for free,Nothing I can think of 
Student,19,1,0,White,1,Some people have died according to my girlfriend so I am not sure what to believe. ,,Mostly trust,Mostly safe,Only slightly confident,if they require us to take it.,If they make it optional. 
Student,23,2,0,White,1,,3,Do not trust at all,Mostly safe,Only slightly confident,,
Student,28,1,0,White,1,"Various reasons, one of which is the survival rate for covid, the data for long term immunity, sources of the vaccine, etc",,Do not trust at all,Not safe at all,Not sure,"I will not vaccinate.  The lethality is low, the spread is miniscule, and the chance of getting reinfected is even lower.",I will not vaccinate against covid.
Student,19,2,0,White,3,,3,Mostly trust,Mostly safe,Somewhat confident,getting it at an easily accessible place,having to travel a far distance to get it
Student,47,2,0,White,,,3,,,,,
Staff,19,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,Transportation,Transportation
Student,33,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,"Clarity and specificity regarding rules, safe distribution locations","Confusion regarding rules and ""groups,"" lack of confidence in the safety of the distribution location"
Staff,19,2,0,White,,,3,,,,,
Student,19,2,1,"Asian,White",1,"I do not want to receive the vaccine unless campus can return to normal. (No masks, no social distancing, 100% in person classes, breaks, etc.)",,Somewhat trust,Mostly safe,Only slightly confident,Return to normalcy. ,"If everyone gets the vaccine and we still need to wear masks and social distance, I do not want to get the vaccine. "
Student,21,1,0,White,1,"I have seen a few people that my family knows either die or have serious health issues immediately after they received their COVID-19 vaccination. I am also aware that all of the COVID-19 vaccinations that are currently available have been at least tested using fetal cell lines, if not manufactured using fetal cell lines. This strongly goes against my moral and ethical convictions.",,Do not trust at all,Mostly safe,Not sure,If there was more data of testing with and success rates of the vaccine as well as a vaccine that has not utilized things that go against my morals for any part of it's process of creation.,"The fact that the vaccine is still so new and we still don't have a flu shot that is over 50% effective after years of developing flu shots. Also knowing that there has not been ample time to test the vaccine with other drugs and health conditions and saying that deaths that occur after people get a COVID-19 vaccination are for the ""greater good of humanity."""
Student,20,2,0,White,1,People getting ill after the second dose of Pfizer and Moderna as well as people getting ill after the single dose of Johnson & Johnson,,Somewhat trust,Mostly safe,Somewhat confident,A wide range of appointment times,A narrow range of appointment times
Student,58,2,0,White,,,3,,,,,
Staff,20,2,1,White,2,,0,Mostly trust,Mostly safe,Somewhat confident,Availability ,Unavailability 
Student,17,1,0,White,1,The side effects after shot,,Mostly trust,Mostly safe,Somewhat confident,Large range of time to get one ( stay available longer during the day),Class
Student,19,2,0,White,2,,3,Mostly trust,Not sure,Somewhat confident,,Having to wait
Student,20,2,0,White,2,,3,Completely trust,Very safe,Very confident,More information about it ,Nothing 
Student,20,6,0,White,2,,3,Mostly trust,Mostly safe,Very confident,General Accessibility ,I canâ€™t think of anything that would make it difficult aside from the inability to get it
Student,19,2,0,White,1,"Infertility, sickness, and it has not been around long enough to see the true influence ",,Do not trust at all,Not safe at all,Only slightly confident,N/a,It makes it difficult to get one when it feels forced. Im not going to do something just because everyone else is. 
Student,19,1,0,White,1,,3,Completely trust,Very safe,Very confident,,
Student,20,1,0,"Asian,White,Biracial / Multiracial / Mixed",2,,3,Mostly trust,Mostly safe,Very confident,Easy appointment setup,Inflexible appointments that donâ€™t fit with my schedule
Student,19,1,0,White,2,,3,Mostly trust,Very safe,Very confident,Being within walking distance of campus ,If it is hard to get there without a vehicle 
Student,,2,0,White,3,,3,Somewhat trust,Not sure,Only slightly confident,Being legit,Major side effects
Student,18,1,0,White,2,,3,Completely trust,Very safe,Very confident,Close vaccination site ,Far away vaccination site 
Student,28,2,0,White,1,I have an autoimmune disease. There has been no trials on individuals like myself. That's a scary thing. I can't be certain whether the vaccine will cause a flare or how serious it could be. I get a flare with the flu shot every year.,,Not sure,Mostly safe,Somewhat confident,Verifying with my doctor that now is a good time.,Nothing 
Student,21,2,0,Hispanic or Latinx,1,That the vaccine was produced to quickly and there is not enough research on what the effects could be.,,Somewhat trust,Mostly safe,Somewhat confident,Being on campus,Being at home 
Student,,2,0,Hispanic or Latinx,,,3,,,,,
Staff,20,2,1,Hispanic or Latinx,,,0,,,,,
Student,21,1,1,White,2,,0,Completely trust,Very safe,Somewhat confident,If they told me when and where to get it I would be there.,If the only time to get the vaccine was when I was in a class.
Student,19,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Knowing what kind of vaccine I would be able to get.,If I wasnâ€™t exempt from class to get a vaccine.
Student,19,2,0,White,2,,3,Completely trust,Very safe,Very confident,It being close to me ,It being far away from me
Student,,2,0,White,,,3,,,,,
Staff,20,2,1,American Indian or Alaska Native,1,adverse reactions ,,Somewhat trust,Mostly safe,Only slightly confident,safer vaccine,moral dilemma 
Student,20,2,0,White,1,n/a,,Not sure,Not sure,Not sure,,
Student,19,2,0,White,2,,3,Completely trust,Mostly safe,Very confident,How close I am to the vaccine ,Nothing
Student,24,2,0,White,,,3,,,,,
Student,63,2,1,White,2,,0,Completely trust,Very safe,Very confident,,
Staff,36,2,0,White,1,I'm hesitant because it seems the vaccination came out really fast compared to other vaccines. I wanted to wait and see how people reacted to it before I got my vaccination,,Mostly trust,Mostly safe,Somewhat confident,N/A,Others having reactions
Staff,,2,0,White,2,,3,Completely trust,Very safe,Very confident,have mental health days like promised and give the students a break ,"school, work, recovery time, scheduling and fear of contracting covid before "
Student,18,2,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,Having lots of options and opportunities for when to get the vaccine and sharing more information about it with parents and the general public to persuade them that it is safe,"My parents donâ€™t really support the vaccine and they might let me get it, but Iâ€™m not sure. "
Student,21,2,0,White,,,3,,,,,
Student,19,1,1,White,2,,0,Completely trust,Very safe,Very confident,,
Student,19,7,0,"American Indian or Alaska Native,White",1,It doesnâ€™t work,,Do not trust at all,Not safe at all,Not sure,Give it to someone else,Joe Biden
Student,20,1,0,White,1,People say it has not been thoroughly tested. Additionally side effects after getting the vaccine. I am very pro vaccine these are criticism I have heard,,Mostly trust,Very safe,Somewhat confident,Choice in location to get vaccine. Choice of what vaccine I am able to get ,Being limited to 1 location or just having access to the 1 dose vaccine (J&J)
Student,20,1,0,White,,,3,,,,,
Student,19,2,1,White,1,affects fertility ,,Do not trust at all,Not safe at all,Only slightly confident,Nothing. Not getting it. ,Everything. Not getting it. 
Student,21,2,0,White,2,,3,Mostly trust,Very safe,Very confident,"Have multiple vaccine clinics across campus, including the health sciences building. Maybe block off a room per academic building for just vaccine distribution? That way as many people can have access as possible, no matter where you are on campus. Maybe dorm lobbies too? Not the safest option but still.",Not having multiple vaccine clinic areas
Student,,2,0,White,,,3,,,,,
Staff,29,2,1,White,1,I have heard you can have negative side effects from the vaccine.,,Not sure,Not sure,Only slightly confident,Knowledge about the side effects.,Worrying about the side effects and its effectiveness.
Student,18,7,0,White,1,"Multiple people having bad reactions to vaccine such, as passing out. The evidence of infertility that may occur in women and possibly men",,Do not trust at all,Not sure,Somewhat confident,The fact that the vaccine wasnt created in less in a year,The fact it was made in under a year
Student,21,1,0,White,2,,3,Mostly trust,Mostly safe,Somewhat confident,A sign up service online,Nothing
Student,19,1,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Campus offering them to students who are eligible ,Getting an appointment 
Student,19,1,0,White,1,Side effects ,,Mostly trust,Very safe,Somewhat confident,Email ahead of time. ,Scheduling
Student,19,1,0,White,2,,3,Completely trust,Very safe,Very confident,Location information,Lack of information on it
Student,21,1,0,White,1,"Side effects such as flu-like symptoms, chills, body aches, etc cause concern",,Somewhat trust,Mostly safe,Somewhat confident,,
Student,20,1,0,White,,,3,,,,,
Student,18,2,1,White,2,,0,Completely trust,Very safe,Very confident,Giving it out on campus within walking distance from my dorm,Nothing
Student,53,1,0,White,1,use of stem cells to make Johnson vaccine,,Somewhat trust,Mostly safe,Somewhat confident,no use of stem cells for research,
Staff,20,2,0,White,2,,3,Mostly trust,Very safe,Only slightly confident,It being available on campus at multiple days and times so I could get one. ,If it was off campus and only during 2 days.
Student,19,2,0,White,1,"Specifically, the Moderna vaccine is giving patients severe allergic reactions and some have died after the second dosage.",,Somewhat trust,Mostly safe,Somewhat confident,If it were available on campus,If the vaccine sites were overcrowded and didn't provide information on which vaccine I am receiving 
Student,,2,0,White,2,,3,Mostly trust,Mostly safe,Very confident,Being able to book appointments online (rather than phone calls) if appointments are necessary.,If I have to drive off campus to get it because I do not have a car on campus 
